title,salary,company,link
Remote AI Product Engineer – ClickStack,[not-disclosed],ClickHouse,weworkremotely.com/remote-jobs/clickhouse-ai-product-engineer-clickstack-1
AI Product Engineer,$129k–$193.5k,CHG Healthcare,remoterocketship.com/us/company/chgcareers/.../ai-product-engineer-utah-remote/
AI Product Engineer,$117k–$145k,Origami Risk,remoterocketship.com/us/company/origamirisk/...
AI Product Engineer,$100k–$125k,Iovance Biotherapeutics,startup.jobs/ai-product-engineer-iovance-biotherapeutics-8107864
Senior AI Product Engineer,[not-disclosed],Smeetz,tn.trabajo.org/offre-4112... (src Smeetz/LinkedIn)
AI Automation Product Engineer,[not-disclosed],NineTwoThree Studio,remoterocketship.com/us/company/ninetwothree-co/...
Sr. AI Engineer (Remote US/CA),"$127,330–$214,000",Samsara,job-boards.greenhouse.io/samsara/jobs/8083352
Sr SWE – Agentic Platform & Integrations (Full Stack),[not-disclosed],Samsara,job-boards.greenhouse.io/samsara/jobs/8052685
Senior SWE Fullstack (Remote US),$155k–$195k,GoGuardian,job-boards.greenhouse.io/goguardian/jobs/4700561006
"Intermediate Fullstack Engineer, Data Products",[not-disclosed],GitLab,job-boards.greenhouse.io/gitlab/jobs/8623751002
"Senior SWE, AI-Native Platform",$158k–$190k,ezCater,job-boards.greenhouse.io/ezcaterinc/jobs/5185605007
"Software Engineer, AI Enablement","GBP £128,770–£178,540",Tailscale,job-boards.greenhouse.io/tailscale/jobs/4718557005
"Lead AI SWE, AI Platform & Architecture",$180k–$225k+,G-P,job-boards.greenhouse.io/globalizationpartners/jobs/7827807003
"Senior Full Stack Engineer, AI Scheduling","$187k–$271,920",Calendly,job-boards.greenhouse.io/calendly/jobs/8464846002
"Senior Full-Stack Software Engineer, Discover",$130k–$140k,Circle.so,job-boards.greenhouse.io/circleso/jobs/5382797008
Senior Fullstack Engineer (TypeScript),$170k–$200k,Northbeam,job-boards.greenhouse.io/northbeam/jobs/4697407006
"Senior Full Stack Engineer, Menu",[not-disclosed],CookUnity,careers.cookunity.com/jobs/7490717003
Senior Full Stack Engineer,$145k–$225k,ShopMy,job-boards.greenhouse.io/shopmy/jobs/4008641008
Senior Full Stack Engineer,$180k (natl base),SERHANT.,job-boards.greenhouse.io/serhant/jobs/4121505009
Sr. Applied AI Engineer,"$98,678–$231,278",Comcast,jobs.comcast.com/job/pennsylvania/sr-applied-ai-engineer/45483
Distinguished AI Engineer (Remote Eligible),"$244,700–$279,200",Capital One,capitalonecareers.com/job/san-francisco/distinguished-ai-engineer-remote-eligible
Senior SWE II — Applied AI,"$192,500–$245,000",Smartsheet,boards.greenhouse.io/smartsheet/jobs/7849785
Senior Applied AI Engineer (Enterprise AI / Python),$160k–$195k + bonus/equity,BrightPlan,jobs.workable.com/view/.../remote-senior-applied-ai-engineer-brightplan
Applied AI Engineer (contract),[not-disclosed],Showman Staffing,haystackapp.io/jobs/4378c384...
Staff SWE — Applied AI,$240k–$270k + equity,Ironclad,jobs.ashbyhq.com/ironcladhq/186a9b25...
Founding AI/Data Engineer,$120k–$210k + 0.5–1% equity,Glass Health,workatastartup.com/jobs/64767
Founding AI Engineer,$60k–$180k + 0.5–2% equity,Rebolt,workatastartup.com/jobs/78732
Founding Infrastructure Engineer,$120k–$160k + 0.5% equity,Flair Labs,workatastartup.com/jobs/89512
Founding Engineer Backend,$85k–$115k,LS Solutions,web3.career/remote-founding-engineer-backend-lssolutions/151524
Founding/Staff (undisclosed),[not-disclosed],Veriff,"(per scout, undisclosed)"
Senior Full Stack AI Engineer,[not-disclosed],Toptal,weworkremotely.com/remote-jobs/toptal-senior-full-stack-ai-engineer
AI Engineer — AWS Bedrock AgentCore,[not-disclosed],Toptal,weworkremotely.com/remote-jobs/toptal-ai-engineer-aws-bedrock-agentcore...
Senior SWE (AI research/verification),**$70/hr**,Stellar AI,weworkremotely.com/remote-jobs/stellar-ai-senior-software-engineer
Tech PM — AI & Data Products,[not-disclosed],Toptal,weworkremotely.com/remote-jobs/toptal-technical-project-manager-ai-data...
SharePoint/M365 Copilot Automation,[not-disclosed],Toptal,weworkremotely.com/remote-jobs/toptal-sharepoint-microsoft-365-copilot...
AI Prompt Engineering & Eval (will train),**$15–20/hr**,DataAnnotation.tech,weworkremotely.com/remote-jobs/dataannotation-tech-ft-pt-remote-ai-prompt...
Principal Agentic AI Architect,**$85–98/hr**,TEKsystems,aijobs.com/jobs/599536164-principal-agentic-ai-architect
Full Stack AI Engineer (Backend Oriented),[not-disclosed],Binance,web3.career/full-stack+remote-jobs
Full Stack Engineer,$70k-$100k,Web3creators,web3.career/full-stack+remote-jobs
Senior Full-Stack Engineer (C#/.NET + React/Next.js),hourly (undisclosed),Arc (client),arc.dev/remote-jobs/full-stack
